0	0.5	476.397
0.1	0.5	543.147
0.2	0.5	672.526
0.3	0.5	751.795
0.4	0.5	667.847
0.5	0.5	773.213
0.6	0.5	898.149
0.7	0.5	639.443
0.8	0.5	564.938
0.9	0.5	795.513
1	0.5	516.674
1.1	0.5	179.51
1.2	0.5	492.15
1.3	0.5	440.792
1.4	0.5	-101.034
1.5	0.5	159.833
1.6	0.5	514.473
1.7	0.5	-39.824
1.8	0.5	-29.8608
1.9	0.5	699.094
2	0.5	383.396
2.1	0.5	-11.2682
2.2	0.5	820.204
2.3	0.5	944.197
2.4	0.5	160.345
2.5	0.5	692.282
2.6	0.5	1309.2
2.7	0.5	379.926
2.8	0.5	278.465
2.9	0.5	1244.09
3	0.5	578.67
3.1	0.5	-237.403
3.2	0.5	756.222
3.3	0.5	750.033
3.4	0.5	-536.107
3.5	0.5	83.4374
3.6	0.5	900.444
3.7	0.5	-364.653
3.8	0.5	-453.012
3.9	0.5	981.192
4	0.5	276.797
